Sl. No. Col. (1),State/ut Col. (2),Persons Arrested - Male - Col. (3),Persons Arrested - Female - Col. (4),Persons Arrested - Transgender - Col. (5),Persons Arrested - Total - Col. (6),Persons Charge Sheeted - Male - Col. (7),Persons Charge Sheeted - Female - Col. (8),Persons Charge Sheeted - Transgender - Col. (9),Persons Charge Sheeted - Total - Col. (10),Persons Convicted - Male - Col. (11),Persons Convicted - Female - Col. (12),Persons Convicted - Transgender - Col. (13),Persons Convicted - Total - Col. (14),Persons Discharged - Male - Col. (15),Persons Discharged - Female - Col. (16),Persons Discharged - Transgender - Col. (17),Persons Discharged - Total - Col. (18),Persons Acquitted - Male - Col. (19),Persons Acquitted - Female - Col. (20),Persons Acquitted - Transgender - Col. (21),Persons Acquitted - Total - Col. (22)
1,Andhra Pradesh,2570,179,0,2749,3727,290,0,4017,24,1,0,25,5,0,0,5,579,32,0,611
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,11,0,0,11,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,4857,232,0,5089,5936,375,0,6311,80,0,0,80,0,0,0,0,223,28,0,251
5,Chhattisgarh,653,37,0,690,637,37,0,674,45,0,0,45,1,0,0,1,192,4,0,196
6,Goa,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,5,1,0,6
7,Gujarat,2619,204,0,2823,2718,216,0,2934,16,1,0,17,0,0,0,0,392,19,0,411
8,Haryana,1459,21,0,1480,1364,15,0,1379,73,1,0,74,0,0,0,0,273,7,0,280
9,Himachal Pradesh,282,67,0,349,273,55,0,328,1,2,0,3,1,0,0,1,66,13,0,79
10,Jharkhand,538,30,0,568,653,38,0,691,29,1,0,30,2,0,0,2,22,0,0,22
11,Karnataka,4032,269,0,4301,4017,253,0,4270,16,2,0,18,7,0,0,7,1233,65,0,1298
12,Kerala,1423,36,0,1459,1554,33,0,1587,49,0,0,49,37,1,0,38,456,4,0,460
13,Madhya Pradesh,7786,158,0,7944,12921,418,0,13339,1184,33,0,1217,468,22,0,490,3244,119,0,3363
14,Maharashtra,5524,452,0,5976,4924,378,0,5302,68,0,0,68,28,0,0,28,962,32,0,994
15,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Odisha,675,6,0,681,2175,18,0,2193,1,0,0,1,0,0,0,0,213,0,0,213
20,Punjab,241,8,0,249,165,3,0,168,11,0,0,11,0,0,0,0,20,1,0,21
21,Rajasthan,6795,218,0,7013,6516,206,0,6722,1017,17,0,1034,363,8,0,371,1163,21,0,1184
22,Sikkim,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2
23,Tamil Nadu,3026,128,0,3154,2124,60,0,2184,142,2,0,144,15,2,0,17,967,35,0,1002
24,Telangana,2158,163,0,2321,2651,222,0,2873,49,1,0,50,0,0,0,0,663,33,0,696
25,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Uttar Pradesh,19642,425,0,20067,28789,956,0,29745,3531,81,0,3612,229,2,0,231,1089,27,0,1116
27,Uttarakhand,88,0,0,88,121,9,0,130,0,0,0,0,0,0,0,0,1,2,0,3
28,West Bengal,126,0,0,126,235,14,0,249,0,0,0,0,0,0,0,0,14,2,0,16
Total State(s),Total State(s),64507,2633,0,67140,81509,3596,0,85105,6336,142,0,6478,1156,35,0,1191,11779,445,0,12224
29,Andaman And Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Dadra And Nagar Haveli And Daman And Diu,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Delhi,184,13,0,197,188,28,0,216,0,0,0,0,0,0,0,0,4,0,0,4
33,Jammu And Kashmir,16,0,0,16,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
34,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,13,5,0,18,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Total Ut(s),Total Ut(s),213,18,0,231,204,28,0,232,0,0,0,0,0,0,0,0,4,0,0,4
Total All India,Total All India,64720,2651,0,67371,81713,3624,0,85337,6336,142,0,6478,1156,35,0,1191,11783,445,0,12228
